youtube_url;CNPJ;gt_CNAE;experiment_run;llmModel;batch_size;pipeline;runs;total_tokens;total_time;experiment_time;cnae;cnae_divisao;cnae_divisao_descricao;cnae_grupo;cnae_grupo_descricao;cnae_classe;cnae_classe_descricao;cnae_subclasse;cnae_subclasse_descricao;reasoning;useFewshot
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;1;gpt-4o-mini;16;A;3;214965;66,13050795;66,13091731;47.11-3-01;47;Comércio varejista;11;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios;3;Comércio varejista de supermercados e hipermercados;1;Supermercados;As imagens refletem um ambiente típico de supermercado, evidenciando prateleiras repletas de produtos alimentícios e bebidas, com áreas de check-out, confirmando a atividade de comércio varejista predominantemente focada em supermercados.;True
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;2;gpt-4o-mini;16;A;3;215007;70,74250054;70,74289107;47.11-3-01;47;Comércio varejista;11;Comércio varejista de mercadorias em geral;3;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;1;Hipermercados;As imagens representam um ambiente de hipermercado, com prateleiras recheadas de produtos alimentícios e bebidas, indicando uma predominância da atividade de comércio varejista relacionada a hipermercados.;True
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;3;gpt-4o-mini;16;A;3;214988;65,26115251;65,26145864;47.11-3/01;47;Comércio varejista;11;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios;3;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;1;Hipermercados;As imagens retratam diversos ambientes de supermercados e hipermercados, com prateleiras amplas repletas de produtos alimentícios e itens de uso geral, evidenciando a atividade de comércio varejista predominante desses estabelecimentos.;True
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;1;gpt-4o-mini;16;A;3;26722;46,0664854;46,0666573;47.11-3-01;47;Comércio varejista;11;Comércio varejista de produtos alimentícios em estabelecimentos especializados;3;Supermercados e hipermercados;1;Supermercados;As imagens exibidas ao longo do vídeo mostram claramente um ambiente de supermercado, com prateleiras repletas de produtos alimentícios, evidenciando a natureza do comércio varejista de produtos alimentícios tanto em estabelecimentos especializados quanto não especializados. A variedade de produtos, interações típicas de eventos promocionais e a estrutura de organização das mercadorias reforçam a predominância da atividade como sendo de supermercados.;False
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;2;gpt-4o-mini;16;A;3;26813;61,56362891;61,56380844;47.11-3-01;47;Comércio varejista;11;Comércio varejista de produtos alimentícios;3;Comércio varejista de supermercados;1;Supermercados e hipermercados;As imagens apresentadas em todos os segmentos do vídeo mostram consistentemente ambientes de supermercado, com prateleiras repletas de produtos alimentícios, indicando que a atividade principal é o comércio varejista de alimentos em supermercados. Isso é reforçado pelo fato de que as descrições e raciocínios convergem para a mesma classificação de CNAE, apontando para a predominância do comércio varejista especializado neste setor.;False
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;3;gpt-4o-mini;16;A;3;26770;70,45450735;70,45469451;47.11-3-01;47;Comércio varejista;11;Comércio varejista de produtos alimentícios em estabelecimentos especializados;3;Supermercados e hipermercados;1;Supermercados;As imagens mostram um ambiente de venda predominantemente ocupado por prateleiras e gôndolas repletas de produtos alimentícios, característico de supermercados. O foco nas vendas de alimentos sugere que a principal atividade do empreendimento é o comércio varejista de produtos alimentícios, o que justifica a classificação CNAE 'Supermercados'.;False
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;1;gpt-4o-mini;16;B;3;74422;72,7753315;72,77558231;47.11-3/01;47;Comércio varejista;11;Comércio varejista de mercadorias em geral;3;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios;1;Supermercados;As imagens mostram um ambiente de supermercado com prateleiras organizadas cheias de produtos alimentícios e de limpeza, além de áreas de preparo e venda. A estrutura e a variedade de produtos indicam clara predominância do comércio varejista de mercadorias alimentícias.;True
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;2;gpt-4o-mini;16;B;3;75076;78,60685897;78,60715079;47.11-3/01;47;Comércio varejista;11;Comércio varejista de produtos alimentícios em estabelecimentos não especializados;3;Comércio varejista de produtos alimentícios em estabelecimentos não especializados;1;Supermercados;As imagens mostram um ambiente de supermercado com prateleiras repletas de produtos alimentícios e de limpeza, além de interações de consumidores e funcionários, indicando um estabelecimento de comércio varejista de alimentos.;True
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;3;gpt-4o-mini;16;B;3;74629;76,74582005;76,74608755;47.11-3/01;47;Comércio varejista;11;Comércio varejista de produtos alimentícios em geral;3;Comércio varejista de produtos alimentícios em geral, inclusive em supermercados;1;Comércio varejista de produtos alimentícios em geral;As imagens mostram prateleiras repletas de produtos alimentícios, seções organizadas e a interação de clientes e funcionários, características típicas de um supermercado que comercializa produtos variados.;True
https://www.youtube.com/watch?v=KNdec9yoU6U;28173534000139;47-11-3-01;1;gpt-4o-mini;16;B;3;27305;82,61847258;82,61863995;47.11-3-00;47;Comércio varejista;11;Comércio varejista de produtos alimentícios em geral;3;Comércio varejista de produtos alimentícios em geral;0;Supermercados e hipermercados;As imagens mostram um ambiente de supermercado com prateleiras organizadas e produtos alimentícios e não alimentícios expostos, além de interações entre funcionários e consumidores. Isso confirma que o estabelecimento se encaixa na categoria de comércio varejista de alimentos, especialmente supermercados.;False
